player,tm,pos,std,0.5PPR,PPR,SFBX,att,comp,payd,patd,int,sack,car%,car,ruyd,rutd,tgt%,tgt,rec,recyd,rectd,,,,
James Conner,PIT,RB,130.1,140.6,151.1,162.1,,,,,,,0.43,166,689,6,0.05,29,21,192,1,,,,
Kareem Hunt,CLE,RB,117.7,142.2,166.7,161.8,,,,,,,0.217,99,426,3,0.137,63,49,451,2,,,,
Duke Johnson,HOU,RB,122.3,140.3,158.3,159.9,,,,,,,0.28,122,598,3,0.095,50,36,325,2,,,,
Cam Akers,LAR,RB,124.8,136.8,148.8,156.1,,,,,,,0.337,140,551,7,0.06,35,24,217,1,,,,
Devin Singletary,BUF,RB,121.2,132.7,144.2,154.8,,,,,,,0.361,168,790,3,0.065,32,23,152,1.5,,,,
Marlon Mack,IND,RB,122,130.5,139,151.2,,,,,,,0.367,165,729,5.5,0.041,22,17,101,1,,,,
Phillip Lindsay,DEN,RB,118.3,130.8,143.3,150.9,,,,,,,0.396,145,701,4,0.061,34,25,182,1,,,,
Ronald Jones,TBB,RB,122.4,130.4,138.4,150.4,,,,,,,0.391,160,672,6,0.037,23,16,162,0.5,,,,
Zack Moss,BUF,RB,117.7,128.2,138.7,149.1,,,,,,,0.343,160,688,4,0.061,30,21,159,1.5,,,,
Carlos Hyde,SEA,RB,106.9,117.4,127.9,136.9,,,,,,,0.308,147,574,5,0.054,27,21,135,1,,,,
Damien Williams,KCC,RB,104.6,119.1,133.6,135.9,,,,,,,0.285,107,438,4,0.06,34,29,218,2.5,,,,
Tevin Coleman,SFO,RB,106.9,117.4,127.9,135.3,,,,,,,0.278,132,545,4.5,0.058,28,21,194,1,,,,
AJ Dillon,GBP,RB,109.7,118.2,126.7,134.6,,,,,,,0.308,125,529,6,0.044,24,17,148,1,,,,
Boston Scott,PHI,RB,102.4,116.9,131.4,133.7,,,,,,,0.249,107,417,4.5,0.061,36,29,277,1,,,,
Chris Thompson,JAX,RB,89.5,114,138.5,128.8,,,,,,,0.134,54,227,1,0.129,67,49,428,3,,,,
Tony Pollard,DAL,RB,93.6,110.1,126.6,125.8,,,,,,,0.214,90,419,2,0.077,44,33,277,2,,,,
Jalen Richard,LVR,RB,88.4,109.9,131.4,124.7,,,,,,,0.15,64,269,2,0.099,50,43,375,2,,,,
Darrell Henderson,LAR,RB,97.6,108.1,118.6,124.2,,,,,,,0.277,115,475,4,0.051,30,21,201,1,,,,
Antonio Gibson,WAS,RB,85.1,108.1,131.1,121.1,,,,,,,0.111,42,196,2,0.113,64,46,415,2,,,,
Latavius Murray,NOS,RB,91,98,105,112,,,,,,,0.247,107,455,5,0.033,18,14,95,1,,,,
Justin Jackson,LAC,RB,82.8,92.3,101.8,105,,,,,,,0.215,86,381,5,0.051,26,19,147,0,,,,
Darrynton Evans,TEN,RB,71.2,87.2,103.2,99.8,,,,,,,0.141,63,255,2,0.09,39,32,247,1.5,,,,
Nyheim Hines,IND,RB,65,86.5,108,98.9,,,,,,,0.094,42,160,1,0.106,57,43,310,2,,,,
Alexander Mattison,MIN,RB,77.5,85,92.5,98.2,,,,,,,0.209,98,431,3.5,0.039,19,15,134,0,,,,
Adrian Peterson,WAS,RB,73.1,77.1,81.1,89.4,,,,,,,0.269,102,423,4,0.019,11,8,68,0,,,,
Malcolm Brown,LAR,RB,72.1,75.6,79.1,86.9,,,,,,,0.227,94,369,5,0.019,11,7,52,0,,,,
Rex Burkhead,NEP,RB,64.1,76.1,88.1,85.8,,,,,,,0.109,49,198,2,0.065,37,24,263,1,,,,
Benny Snell,PIT,RB,69.8,71.3,72.8,83.1,,,,,,,0.275,106,429,4,0.009,5,3,29,0,,,,
Frank Gore,NYJ,RB,62.7,68.7,74.7,82.2,,,,,,,0.275,106,403,2,0.031,16,12,104,0,,,,
Chase Edmonds,ARZ,RB,62.4,71.9,81.4,81.4,,,,,,,0.141,56,280,3,0.05,28,19,134,0.5,,,,
Jaylen Samuels,PIT,RB,50.5,71,91.5,81,,,,,,,0.06,23,90,0,0.084,49,41,295,2,,,,
Joshua Kelley,LAC,RB,62,70,78,80.2,,,,,,,0.17,68,271,4,0.043,22,16,109,0,,,,
Dare Ogunbowale,TBB,RB,51.6,67.6,83.6,75,,,,,,,0.034,14,44,1,0.07,43,32,292,2,,,,
Jamaal Williams,GBP,RB,49.4,60.9,72.4,69,,,,,,,0.089,36,155,1,0.055,30,23,159,2,,,,
Lynn Bowden Jr.,LVR,RB,45.5,60,74.5,67.6,,,,,,,0.049,21,83,1,0.07,35,29,252,1,,,,
Gio Bernard,CIN,RB,43.9,56.4,68.9,65.9,,,,,,,0.108,46,170,0.5,0.06,34,25,179,1,,,,
Anthony McFarland,PIT,RB,49.5,56,62.5,64.6,,,,,,,0.15,58,253,1,0.031,18,13,122,1,,,,
Jerick McKinnnon,SFO,RB,46.3,55.8,65.3,64,,,,,,,0.093,44,180,1,0.052,25,19,163,1,,,,
Kyle Juszczyk,SFO,RB,35.5,47.5,59.5,52.5,,,,,,,0.011,5,18,0,0.06,29,24,277,1,,,,
Dion Lewis,NYG,RB,35.2,42.7,50.2,50.5,,,,,,,0.109,47,183,1,0.039,21,15,109,0,,,,
Brian Hill,ATL,RB,35.9,41.9,47.9,49.5,,,,,,,0.139,51,204,1,0.026,17,12,95,0,,,,
Ito Smith,ATL,RB,35.7,42.7,49.7,48.6,,,,,,,0.085,31,130,1,0.028,18,14,107,1,,,,
Ty Johnson,DET,RB,33.8,41.3,48.8,48.4,,,,,,,0.1,41,166,1,0.034,19,15,112,0,,,,
Ty Montgomery,NOS,RB,27,35.5,44,40,,,,,,,0.03,13,56,0.5,0.04,22,17,124,1,,,,
Darrel Williams,KCC,RB,29.6,31.6,33.6,37.6,,,,,,,0.131,49,200,1,0.011,6,4,36,0,,,,
Dontrell Hilliard,CLE,RB,26.1,32.1,38.1,37,,,,,,,0.055,25,97,1,0.035,16,12,104,0,,,,
Reggie Bonnafon,CAR,RB,30.1,31.6,33.1,36.2,,,,,,,0.094,38,156,2,0.007,4,3,25,0,,,,
Jeff Wilson,SFO,RB,29,31.5,34,35.7,,,,,,,0.065,31,123,2,0.014,7,5,47,0,,,,
Corey Clement,PHI,RB,25.7,28.2,30.7,33.6,,,,,,,0.098,42,156,1,0.01,6,5,41,0,,,,
Peyton Barber,WAS,RB,23.6,26.1,28.6,30.6,,,,,,,0.09,34,132,1,0.014,8,5,44,0,,,,
CJ Ham,MIN,RB,18.2,26.2,34.2,29.9,,,,,,,0.015,7,15,0,0.049,24,16,137,0.5,,,,
Gus Edwards,BAL,RB,23.5,25,26.5,28.7,,,,,,,0.055,30,159,1,0.007,3,3,16,0,,,,
Mike Boone,MIN,RB,22.2,24.2,26.2,27.9,,,,,,,0.06,28,137,1,0.01,5,4,25,0,,,,
Eno Benjamin,ARZ,RB,18.8,22.8,26.8,26.8,,,,,,,0.061,24,110,0.5,0.02,11,8,48,0,,,,
Royce Freeman,DEN,RB,20.2,22.2,24.2,25.9,,,,,,,0.077,28,110,1,0.011,6,4,32,0,,,,
Mike Davis,CAR,RB,19.3,21.8,24.3,25,,,,,,,0.052,21,85,1,0.012,7,5,48,0,,,,
Damien Harris,NEP,RB,18.8,19.8,20.8,23.3,,,,,,,0.065,29,115,1,0.005,3,2,13,0,,,,
Lamical Perine,NYJ,RB,16.5,18.5,20.5,22.6,,,,,,,0.083,32,128,0,0.01,5,4,37,0,,,,
Ryquell Armstead,JAX,RB,15.1,19.1,23.1,22.4,,,,,,,0.042,17,67,0,0.025,13,8,84,0,,,,
TJ Yeldon,BUF,RB,14,18.5,23,22,,,,,,,0.036,17,62,0,0.024,12,9,78,0,,,,
Wayne Gallman,NYG,RB,18,18.5,19,21.9,,,,,,,0.07,30,114,1,0.004,2,1,6,0,,,,
Justice Hill,BAL,RB,14,18,22,21.5,,,,,,,0.035,19,78,0,0.029,13,8,62,0,,,,
Rashaad Penny,SEA,RB,14.8,16.3,17.8,19,,,,,,,0.042,20,92,0.5,0.008,4,3,26,0,,,,
Patrick Laird,MIA,RB,11.7,15.7,19.7,18.7,,,,,,,0.033,14,52,0,0.02,11,8,65,0,,,,
Deejay Dallas,SEA,RB,13.9,15.4,16.9,18.5,,,,,,,0.05,24,91,0.5,0.008,4,3,18,0,,,,
Trayveon Williams,CIN,RB,11.6,13.6,15.6,16.7,,,,,,,0.052,22,89,0,0.009,5,4,27,0,,,,
Travis Kelce,KCC,TE,156,201.5,247,280.7,,,,,,,,,,,0.229,130,91,1170,6.5,,,,
George Kittle,SFO,TE,151.8,197.3,242.8,277.4,,,,,,,0.008,4,21,0,0.24,116,91,1137,6,,,,
Mark Andrews,BAL,TE,149.2,187.2,225.2,253.3,,,,,,,,,,,0.259,115,76,1012,8,,,,
Tyler Higbee,LAR,TE,123.7,165.2,206.7,237.4,,,,,,,,,,,0.201,118,83,937,5,,,,
Darren Waller,LVR,TE,126,164.5,203,231.5,,,,,,,,,,,0.201,101,77,960,5,,,,
Zach Ertz,PHI,TE,120.8,161.3,201.8,231.8,,,,,,,,,,,0.206,122,81,848,6,,,,
Evan Engram,NYG,TE,116.3,152.8,189.3,216.5,,,,,,,0.002,1,6,0,0.204,109,73,857,5,,,,
Rob Gronkowski,TBB,TE,117.2,148.2,179.2,202.2,,,,,,,,,,,0.162,100,62,812,6,,,,
Hayden Hurst,ATL,TE,107.6,143.6,179.6,206.3,,,,,,,,,,,0.152,98,72,776,5,,,,
Dallas Goedert,PHI,TE,103.1,136.1,169.1,193.5,,,,,,,,,,,0.16,95,66,671,6,,,,
Blake Jarwin,DAL,TE,98.8,130.8,162.8,186.5,,,,,,,,,,,0.15,86,64,688,5,,,,
Noah Fant,DEN,TE,95.9,125.9,155.9,178.8,,,,,,,0.008,3,20,0,0.16,90,60,669,4.5,,,,
Jared Cook,NOS,TE,99.9,122.9,145.9,162.9,,,,,,,,,,,0.121,66,46,699,5,,,,
Hunter Henry,LAC,TE,90.9,120.4,149.9,171.8,,,,,,,,,,,0.17,87,59,609,5,,,,
Greg Olsen,SEA,TE,88.1,116.6,145.1,166.2,,,,,,,,,,,0.14,70,57,581,5,,,,
Jack Doyle,IND,TE,84.8,114.8,144.8,167,,,,,,,,,,,0.15,81,60,608,4,,,,
Mike Gesicki,MIA,TE,89.8,113.3,136.8,154.2,,,,,,,,,,,0.15,83,47,598,5,,,,
Jonnu Smith,TEN,TE,84.3,107.3,130.3,148.2,,,,,,,0.009,4,27,0,0.139,60,46,576,4,,,,
TJ Hockenson,DET,TE,82.4,105.9,129.4,146.8,,,,,,,,,,,0.139,77,47,524,5,,,,
Eric Ebron,PIT,TE,77.7,101.7,125.7,143.5,,,,,,,,,,,0.116,68,48,537,4,,,,
Chris Herndon,NYJ,TE,76.7,99.7,122.7,139.7,,,,,,,,,,,0.13,68,46,467,5,,,,
Tyler Eifert,JAX,TE,71.6,94.6,117.6,134.6,,,,,,,,,,,0.133,69,46,476,4,,,,
Irv Smith,MIN,TE,71.1,94.1,117.1,134.1,,,,,,,,,,,0.12,59,46,471,4,,,,
Logan Thomas,WAS,TE,61.6,81.1,100.6,115,,,,,,,,,,,0.111,63,39,436,3,,,,
Jace Sternberger,GBP,TE,62.7,80.7,98.7,112,,,,,,,,,,,0.103,56,36,447,3,,,,
Kyle Rudolph,MIN,TE,61.9,79.4,96.9,109.9,,,,,,,,,,,0.089,44,35,349,4.5,,,,
Dawson Knox,BUF,TE,58.3,75.3,92.3,104.9,,,,,,,,,,,0.115,57,34,403,3,,,,
CJ Uzomah,CIN,TE,53.8,73.8,93.8,108.6,,,,,,,,,,,0.1,57,40,358,3,,,,
Jimmy Graham,CHI,TE,56.1,72.1,88.1,100,,,,,,,,,,,0.1,53,32,381,3,,,,
Austin Hooper,CLE,TE,54.8,69.8,84.8,95.9,,,,,,,,,,,0.089,41,30,308,4,,,,
Darren Fells,HOU,TE,50.9,66.9,82.9,94.8,,,,,,,,,,,0.09,47,32,329,3,,,,
Devin Asiasi,NEP,TE,51.1,66.6,82.1,93.6,,,,,,,,,,,0.079,45,31,331,3,,,,
Gerald Everett,LAR,TE,48.4,65.4,82.4,95,,,,,,,,,,,0.096,56,34,364,2,,,,
Jordan Akins,HOU,TE,50.4,65.4,80.4,91.5,,,,,,,,,,,0.086,45,30,324,3,,,,
Trey Burton,IND,TE,50.2,63.7,77.2,87.2,,,,,,,,,,,0.085,46,27,322,3,,,,
Nick Boyle,BAL,TE,45.3,62.3,79.3,91.9,,,,,,,,,,,0.11,49,34,333,2,,,,
Ian Thomas,CAR,TE,42.7,58.2,73.7,85.2,,,,,,,,,,,0.093,53,31,307,2,,,,
Dan Arnold,ARZ,TE,46.3,58.8,71.3,80.6,,,,,,,,,,,0.064,36,25,343,2,,,,
Cameron Brate,TBB,TE,43.2,57.7,72.2,82.9,,,,,,,,,,,0.065,40,29,252,3,,,,
Vance McDonald,PIT,TE,42.9,56.9,70.9,81.3,,,,,,,,,,,0.07,41,28,309,2,,,,
David Njoku,CLE,TE,39.1,53.1,67.1,77.5,,,,,,,,,,,0.085,39,28,241,2.5,,,,
Anthony Firkser,TEN,TE,39.8,51.3,62.8,71.3,,,,,,,,,,,0.081,35,23,308,1.5,,,,
Jesse James,DET,TE,37.6,50.1,62.6,71.9,,,,,,,,,,,0.071,39,25,256,2,,,,
Cole Kmet,CHI,TE,36.1,49.1,62.1,71.7,,,,,,,,,,,0.07,37,26,241,2,,,,
OJ Howard,TBB,TE,34.7,45.2,55.7,63.5,,,,,,,,,,,0.053,33,21,287,1,,,,
Josh Oliver,JAX,TE,28.1,37.6,47.1,54.1,,,,,,,,,,,0.06,31,19,221,1,,,,
Will Dissly,SEA,TE,28,36.5,45,51.3,,,,,,,,,,,0.04,20,17,190,1.5,,,,
Jeremy Sprinkle,WAS,TE,26.1,35.6,45.1,52.1,,,,,,,,,,,0.053,30,19,201,1,,,,
Drew Sample,CIN,TE,23.9,34.9,45.9,54,,,,,,,,,,,0.06,34,22,179,1,,,,
Foster Moreau,LVR,TE,23.8,33.8,43.8,51.2,,,,,,,,,,,0.05,25,20,178,1,,,,
Ricky Seals-Jones,KCC,TE,24.4,30.4,36.4,40.8,,,,,,,,,,,0.039,22,12,154,1.5,,,,
Ryan Griffin,NYJ,TE,21.7,29.2,36.7,42.3,,,,,,,,,,,0.04,21,15,157,1,,,,
Josh Hill,NOS,TE,20.5,28,35.5,41.1,,,,,,,,,,,0.04,22,15,145,1,,,,
Marcedes Lewis,GBP,TE,20.6,27.1,33.6,38.4,,,,,,,,,,,0.033,18,13,146,1,,,,
Dalton Keene,NEP,TE,19.6,26.1,32.6,37.4,,,,,,,,,,,0.035,20,13,136,1,,,,
Jason Witten,LVR,TE,18.1,25.6,33.1,38.7,,,,,,,,,,,0.04,20,15,121,1,,,,
Maxx Williams,ARZ,TE,18.9,24.9,30.9,35.3,,,,,,,,,,,0.028,16,12,159,0.5,,,,
Dalton Schultz,DAL,TE,17.1,23.1,29.1,33.5,,,,,,,,,,,0.03,17,12,111,1,,,,
Albert Okwuegbunam,DEN,TE,14.1,22.1,30.1,36,,,,,,,,,,,0.041,23,16,141,0,,,,
Ross Dwelley,SFO,TE,14.9,21.4,27.9,32.7,,,,,,,,,,,0.039,19,13,89,1,,,,
Jacob Hollister,SEA,TE,13.2,19.2,25.2,29.6,,,,,,,,,,,0.036,18,12,102,0.5,,,,
James O'Shaughnessy,JAX,TE,12.4,18.4,24.4,28.8,,,,,,,,,,,0.035,18,12,124,0,,,,
Robert Tonyan,GBP,TE,14.5,18.5,22.5,25.5,,,,,,,,,,,0.022,12,8,85,1,,,,
Mycole Pruitt,TEN,TE,13.3,17.8,22.3,25.6,,,,,,,,,,,0.03,13,9,133,0,,,,
Virgil Green,LAC,TE,12.2,17.2,22.2,25.9,,,,,,,,,,,0.031,16,10,92,0.5,,,,
Mo Alie-Cox,IND,TE,11.2,15.2,19.2,22.2,,,,,,,,,,,0.024,13,8,112,0,,,,
Demetrius Harris,CHI,TE,10.2,14.2,18.2,21.2,,,,,,,,,,,0.025,13,8,102,0,,,,
Tyler Kroft,BUF,TE,8.9,12.9,16.9,19.9,,,,,,,,,,,0.034,17,8,89,0,,,,
Jordan Thomas,HOU,TE,8.8,12.8,16.8,19.8,,,,,,,,,,,0.025,13,8,88,0,,,,
Levine Toilolo,NYG,TE,7.2,10.7,14.2,16.8,,,,,,,,,,,0.024,13,7,72,0,,,,
Joshua Perkins,PHI,TE,6.3,9.8,13.3,15.9,,,,,,,,,,,0.02,12,7,63,0,,,,
Josiah Deguara,GBP,TE,6.5,9.5,12.5,14.7,,,,,,,,,,,0.017,9,6,65,0,,,,
Matt LaCosse,NEP,TE,6.2,9.2,12.2,14.4,,,,,,,,,,,0.016,9,6,62,0,,,,
Nick Vannett,DEN,TE,5.3,8.3,11.3,13.5,,,,,,,,,,,0.018,10,6,53,0,,,,
Tyler Conklin,MIN,TE,5.3,8.3,11.3,13.5,,,,,,,,,,,0.018,9,6,53,0,,,,
Durham Smythe,MIA,TE,4.7,7.7,10.7,12.9,,,,,,,,,,,0.016,9,6,47,0,,,,
Chris Manhertz,CAR,TE,4.9,7.4,9.9,11.8,,,,,,,,,,,0.014,8,5,49,0,,,,
Harrison Bryant,CLE,TE,3.9,5.9,7.9,9.4,,,,,,,,,,,0.015,7,4,39,0,,,,
Michael Thomas,NOS,WR,205.7,272.2,338.7,296.9,,,,,,,0.002,1,4,0,0.299,163,133,1513,9,,,,
Julio Jones,ATL,WR,184,232.5,281,250.7,,,,,,,0.005,2,8,0,0.24,154,97,1412,7,,,,
Chris Godwin,TBB,WR,178.2,229.7,281.2,249,,,,,,,0.005,2,15,0,0.23,142,103,1287,8,,,,
Davante Adams,GBP,WR,172.7,222.7,272.7,241.2,,,,,,,,,,,0.284,154,100,1247,8,,,,
